game_id,game_name,game_yr_pub,min_players,max_players,min_play_time,min_age,avg_rating,complexity,categories,designers,publishers,rank,Puzzle,Card Game
172287,Champions of Midgard,2015,2,4,60,10,7.75864,2.5939,Adventure|Dice|Fantasy|Fighting|Medieval|Mythology,Ole Steiness,Grey Fox Games|Corax Games|Czacha Games|Don't Panic Games|Ediciones MasQueOca|Games Warehouse|Lavka Games,110,0,0
263918,Cartographers,2019,1,100,30,10,7.706,1.8968,Fantasy|Territory Building,Jordy Adan,Thunderworks Games|Buró|Gen-X Games|Grok Games|Hobby World|Intrafin Games|Kaissa Chess & Games|Ludofy Creative|Mandoo Games|Ogry Games|Outland|Pegasus Spiele|Pridemage Games|Raven Distribution|Reflexshop|Regatul Jocurilor|REXhry|Tower Tactic Games|The Wood Games,111,0,0
30549,Pandemic,2008,2,4,45,8,7.5808,2.4058,Medical,Matt Leacock,"Z-Man Games|ADC Blackfire Entertainment|Albi|Asmodee|Asmodee Italia|Asterion Press|Bergsala Enigma (Enigma)|Boardgame Space|Brain Games|Devir|Filosofia Éditions|Galápagos Jogos|Gém Klub Kft.|HaKubia|Hobby Japan|HomoLudicus|Jolly Thinkers|Kaissa Chess & Games|Korea Boardgames Co., Ltd.|Lacerta|Lautapelit.fi|Lifestyle Boardgames Ltd|MINDOK|Nordic Games GmbH|Paladium Games|Pegasus Spiele|Quined White Goblin Games|Rebel Sp. z o.o.|Siam Board Games|Stratelibri|Wargames Club Publishing|White Goblin Games|Zhiyanjia|Ігромаг|Взрослые дети",112,0,0
218417,Aeon's End: War Eternal,2017,1,4,60,14,8.3597,2.9364,Card Game|Fantasy|Science Fiction,Kevin Riley,Action Phase Games|Indie Boards & Cards|Frosted Games|Matagot|Portal Games|Surfin' Meeple China,113,0,1
196340,Yokohama,2016,2,4,90,14,7.83732,3.2883,Economic,Hisashi Hayashi,OKAZU Brand|Tasty Minstrel Games|2Tomatoes Games|BoardM Factory|Cranio Creations|Dexker Games|dlp games|Playfun Games,114,0,0
198928,Pandemic: Iberia,2016,2,5,45,8,7.91074,2.5786,Medical|Post-Napoleonic|Trains,Jesús Torres Castro|Matt Leacock,Z-Man Games|Asterion Press|Devir|Filosofia Éditions|Hobby Japan,115,0,0
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,1,8,60,13,7.69245,2.67,Deduction|Murder/Mystery|Novel-based|Post-Napoleonic|Spies/Secret Agents,Raymond Edwards|Suzanne Goldberg|Gary Grady,"Sleuth Publications|Space Cowboys|Angry Lion Games|Asmodee|Asmodee Italia|Asterion Press|Ben Sanders Co.|Casper|Chessex|CrowD Games|Descartes Editeur|Edge Entertainment|International Team|Kaissa Chess & Games|KOSMOS|Rawstone|Target Games|Ystari Games|二見書房 ( Futami Shobo Publishing Co., Ltd. )",116,0,0
163068,Trickerion: Legends of Illusion,2015,2,4,60,14,7.94984,4.2213,Post-Napoleonic,Richard Amann|Viktor Peter,Mindclash Games|APE Games|Corax Games|Grok Games|Maldito Games|Super Meeple,117,0,0
253344,Cthulhu: Death May Die,2019,1,5,90,14,8.1395,2.3981,Fantasy|Fighting|Horror|Miniatures,Rob Daviau|Eric M. Lang,CMON Global Limited|Asmodee|Asmodee Italia|BoardM Factory|Delta Vision Publishing|Edge Entertainment|Galápagos Jogos|Game Harbor|Guillotine Games|Hobby World|Portal Games|REXhry,118,0,0
175155,Forbidden Stars,2015,2,4,120,14,7.96961,3.83,Bluffing|Fighting|Miniatures|Science Fiction|Wargame,Samuel Bailey|James Kniffen|Corey Konieczka,Fantasy Flight Games|Asterion Press|Edge Entertainment|Galakta|Heidelberger Spieleverlag,119,0,0
127023,Kemet,2012,2,5,90,13,7.69652,3.0,Ancient|Miniatures|Mythology|Wargame,Jacques Bariot|Guillaume Montiage,Matagot|Asmodee|Asterion Press|Bureau de Juegos|Buró|CrowD Games|Funiverse|Galápagos Jogos|Pegasus Spiele|Rebel Sp. z o.o.|Surfin' Meeple China,120,0,0
266524,PARKS,2019,1,5,30,10,7.77302,2.1593,Adventure|Animals|Environmental|Travel,Henry Audubon,Keymaster Games|Albi|Albi Polska|Feuerland Spiele|Lavka Games|Matagot|Surfin' Meeple China|Tranjis Games,121,0,0
175640,Vinhos Deluxe Edition,2016,1,4,60,14,8.15963,4.058,Economic|Industry / Manufacturing,Vital Lacerda,"Eagle-Gryphon Games|Korea Boardgames Co., Ltd.|Maldito Games",122,0,0
262712,Res Arcana,2019,2,4,30,12,7.73677,2.6127,Card Game|Fantasy,Thomas Lehmann,Sand Castle Games|17wanzy (Yihu BG)|ADC Blackfire Entertainment|Asmodee Italia|GaGa Games|Galápagos Jogos|Geekach Games|Gém Klub Kft.|Rebel Sp. z o.o.|sternenschimmermeer|テンデイズゲームズ(TendaysGames),123,0,1
255984,Sleeping Gods,2021,1,4,60,13,8.47929,3.1687,Adventure|Exploration|Nautical,Ryan Laukat,Red Raven Games|Banana Games|dV Giochi|Games7Days|Keep Exploring Games|Lavka Games|Lotus Frog Games|Lucky Duck Games|Maldito Games|Reflexshop|REXhry|Schwerkraft-Verlag,124,0,0
